Institute,Branch Name,Quota,Category,Seat Pool,Opening Rank,Closing Rank,Round No,State
COEP Technological University,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,2488,5254,3,Maharashtra
COEP Technological University,"Metallurgy and Material Technology (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,3515,9349,3,Maharashtra
COEP Technological University,"Metallurgy and Material Technology (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,3515,14186,3,Maharashtra
COEP Technological University,"Metallurgy and Material Technology (4 Years, Bachelor of Technology)",HS,SC,Female-Only,3515,21854,3,Maharashtra
COEP Technological University,"Metallurgy and Material Technology (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,3515,75363,3,Maharashtra
COEP Technological University,"Metallurgy and Material Technology (4 Years, Bachelor of Technology)",HS,ST,Female-Only,3515,48430,3,Maharashtra
COEP Technological University,"Metallurgy and Material Technology (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,3515,85380,3,Maharashtra
COEP Technological University,"Metallurgy and Material Technology (4 Years, Bachelor of Technology)",HS,OBC,Gender-Neutral,3515,7987,3,Maharashtra
COEP Technological University,"Metallurgy and Material Technology (4 Years, Bachelor of Technology)",HS,OBC,Female-Only,3515,11222,3,Maharashtra
COEP Technological University,"Metallurgy and Material Technology (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,3515,7374,3,Maharashtra
COEP Technological University,"Metallurgy and Material Technology (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,3515,7374,3,Maharashtra
COEP Technological University,"Metallurgy and Material Technology (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,3515,6858,3,Maharashtra
,,,,,,,,
Veermata Jijabai Technological Institute(VJTI),"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,16,506,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,16,1007,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,16,595,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,16,595,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,16,208,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,16,344,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,16,3371,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,16,2329,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,16,3391,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,16,11567,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-Only,16,12448,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Information Technology(4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,188,568,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Information Technology(4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,188,1314,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Information Technology(4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,188,745,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Information Technology(4 Years, Bachelor of Technology)",HS,EWS,Female-Only,188,745,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Information Technology(4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,188,319,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Information Technology(4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,188,617,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Information Technology(4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,188,5707,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Information Technology(4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,188,3444,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Information Technology(4 Years, Bachelor of Technology)",HS,SC,Female-Only,188,4275,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Information Technology(4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,188,12575,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Information Technology(4 Years, Bachelor of Technology)",HS,ST,Female-Only,188,20568,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,337,1222,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,337,2187,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,337,1702,3,Maharashtra
